Code,Name,Population,Households,Area,Male,Female,Black,Coloured,Indian or Asian,White,Other race,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Sign language,SiSwati,Tshivenda,Xitsonga,Other language,Language not applicable
575041,Maduladula A,2344,429,9.6763207323,1115,1229,2335,0,7,1,1,2,32,26,2,1937,3,309,23,9,1,0,0,0,0
575042,Ohaleni,1775,288,3.7976037624,781,994,1775,0,0,0,0,2,11,8,2,1728,7,5,10,2,0,0,0,0,0
575043,Magongoloza,2000,352,1.676328279,923,1077,1998,1,1,0,0,0,11,24,4,1916,4,13,13,6,2,0,0,9,0
575044,Sigqobheleni,315,46,3.5067635737,157,158,315,0,0,0,0,1,1,6,0,302,0,1,2,2,0,0,0,0,0
575045,Mafitleng A,2009,402,4.6726940221,912,1097,2008,1,0,0,0,14,6,20,0,1206,5,727,14,17,0,0,0,0,0
575046,Mqhedlana,2482,505,4.2983785815,1122,1360,2470,6,5,0,1,7,26,35,7,1343,0,1019,22,22,0,0,0,0,0
575047,Nhlambamasoka C,332,40,2.3257607186,144,188,324,1,3,4,0,0,1,0,0,245,0,0,0,0,0,0,0,0,85
575048,Bhekabantu A,271,41,3.4196589181,111,159,268,1,0,0,1,0,1,8,0,257,1,0,2,1,0,0,0,0,0
575049,Nondweni C,2372,358,7.2765020037,1061,1311,2371,0,0,1,0,1,6,6,1,2351,0,1,0,0,0,3,2,0,0
575050,Nqutu,5453,1340,5.3126361799,2329,3124,5338,14,12,11,78,8,83,45,17,4739,14,85,46,7,2,0,19,113,275
575051,Patsoana B,652,117,8.1329534873,303,348,652,0,0,0,0,0,0,0,0,636,2,14,0,0,0,0,0,0,0
575052,HlathiNgudulwane,5530,1073,8.2874559296,2488,3042,5516,2,6,3,2,26,44,61,16,5218,27,88,22,23,0,0,2,4,0
575053,HlathiDlamini,3428,703,7.2112163869,1565,1863,3424,2,2,0,0,1,26,22,2,3340,2,17,7,11,0,0,0,0,0
575054,Khiphinkunzi A,678,126,1.9292601043,275,403,665,0,13,0,0,0,7,23,0,638,0,0,7,1,0,1,0,0,0
575055,Patsoana A,859,153,3.1669301463,384,475,859,0,0,0,0,1,0,3,1,509,1,339,1,1,0,1,0,0,0
575056,Ngwetshana A,728,130,0.6607912853,347,381,721,0,6,1,0,3,4,8,2,388,2,309,2,8,0,0,0,0,0
575057,Khiphinkunzi B,1237,214,1.9035684772,551,686,1220,0,2,13,1,0,5,16,0,1180,4,6,20,6,0,0,0,0,0
575058,Good Hope,1870,328,3.8675452374,869,1001,1870,0,0,0,0,0,5,15,2,1833,1,11,0,4,0,0,0,0,0
575059,Ntanyandlovu F,1283,214,2.2018276994,572,711,1281,2,0,0,0,0,43,30,2,1181,9,2,15,0,0,0,0,0,0
575060,Sunrise,2065,345,5.219983701,898,1167,2060,3,0,0,1,0,11,37,2,2000,0,7,7,1,0,0,0,0,0
575061,Ngwebini A,1056,181,1.5415091138,453,604,1054,2,0,0,0,0,6,14,0,1032,0,0,1,4,0,0,0,0,0
575062,Witkop,994,171,1.1781624815,444,549,986,5,0,1,1,11,6,5,1,968,1,0,1,0,0,0,0,0,0
575063,Grazing B,701,108,7.1800772554,324,377,701,0,0,0,0,0,5,2,0,693,0,0,1,0,0,0,0,0,0
575064,Mbewunye A,304,58,1.5480395511,132,173,304,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0
575065,Ngwetshana B,1730,322,1.3947285354,791,939,1730,0,0,0,0,0,4,6,1,1690,1,24,1,2,0,0,0,0,0
575066,Patsoana C,293,50,1.2824996122,150,143,291,0,0,2,0,0,2,4,0,233,4,47,2,1,0,0,0,0,0
575067,Mbewunye B,324,52,0.5054141519,159,165,324,0,0,0,0,1,1,0,0,316,1,5,0,0,0,0,0,0,0
575068,Excelsior,1037,190,2.1960169588,471,566,1036,0,0,0,1,0,8,2,5,1013,1,1,3,2,1,0,0,0,0
575069,Bhekabantu B,637,107,3.6869078769,283,354,637,0,0,0,0,0,10,7,0,609,5,0,5,0,0,0,1,0,0
575070,Ogazini,1106,174,6.6656429171,498,608,1103,2,0,0,0,1,27,4,0,1063,0,2,3,6,0,0,0,0,0
575071,Ntanyandlovu B,472,87,0.4480268406,197,275,469,0,2,0,0,2,8,18,1,439,2,0,0,0,0,0,1,0,0
575072,Ntanyandlovu D,352,67,0.9427293927,150,202,352,0,0,0,0,0,2,7,0,325,0,0,1,16,0,0,0,0,0
575073,Ntanyandlovu E,258,56,0.3830016499,125,133,258,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0
575074,Jabavu,1217,232,2.2541969776,563,654,1216,0,0,0,1,0,1,1,4,1170,2,35,1,2,0,0,0,0,0
575075,Grazing C,947,144,9.8177389066,436,511,947,0,0,0,0,0,4,2,0,935,0,0,5,1,0,0,0,0,0
575076,HlabaNkhosi,1043,190,33.5186661574,449,593,1036,0,6,1,0,8,17,24,0,984,5,1,2,0,0,1,0,1,0
575077,Grazing A,797,134,31.3109415727,373,424,794,2,0,0,1,1,2,8,7,763,1,1,2,11,0,0,0,0,0
575078,eGezahlala E,571,85,4.4583580084,270,300,571,0,0,0,0,0,2,5,1,559,0,2,1,0,0,0,0,0,0
575079,Frischgewaagd,426,74,2.8843129097,187,239,426,0,0,0,0,0,0,2,0,422,1,0,1,0,0,0,0,0,0
575080,Magala,426,87,0.3488766456,214,212,426,0,0,0,0,0,0,1,0,86,0,337,0,1,1,0,0,0,0
575081,KwaVuma,388,71,0.5664350106,189,199,388,0,0,0,0,0,7,1,0,375,1,0,3,0,0,0,0,0,0
575082,Ntanyandlovu C,490,85,0.4581888663,223,267,490,0,0,0,0,0,0,7,0,479,0,0,5,0,0,0,0,0,0
