prefix,example_code,count,mdb_code,municipality
670,670001,6,NW392,Naledi
671,671001,6,NW393,Mamusa
672,672001,66,NW394,Greater Taung
673,673001,7,NW396,Lekwa-Teemane
674,674001,64,NW397,Kagisano/Molopo
675,675001,11,NW401,Ventersdorp
676,676001,10,NW402,Tlokwe City Council
677,677001,12,NW403,City of Matlosana
678,678001,10,NW404,Maquassi Hills
760,760001,14,GT421,Emfuleni
761,761001,11,GT422,Midvaal
762,762001,15,GT423,Lesedi
763,763001,11,GT481,Mogale City
764,764001,5,GT482,Randfontein
765,765001,14,GT483,Westonaria
766,766001,26,GT484,Merafong City
797,797001,34,EKU,Ekurhuleni
798,798001,40,JHB,City of Johannesburg
799,799001,79,TSH,City of Tshwane
860,860001,53,MP301,Albert Luthuli
861,861001,13,MP302,Msukaligwa
862,862001,10,MP303,Mkhondo
863,863001,8,MP304,Pixley Ka Seme
864,864001,7,MP305,Lekwa
865,865001,6,MP306,Dipaleseng
866,866001,12,MP307,Govan Mbeki
867,867001,8,MP311,Victor Khanye
868,868001,25,MP312,Emalahleni
869,869001,13,MP313,Steve Tshwete
870,870001,9,MP314,Emakhazeni
871,871001,21,MP315,Thembisile
872,872001,49,MP316,Dr JS Moroka
873,873001,17,MP321,Thaba Chweu
874,874001,73,MP322,Mbombela
875,875001,7,MP323,Umjindi
876,876001,56,MP324,Nkomazi
877,877001,141,MP325,Bushbuckridge
960,960001,83,LIM331,Greater Giyani
961,961001,112,LIM332,Greater Letaba
962,962001,100,LIM333,Greater Tzaneen
963,963001,17,LIM334,Ba-Phalaborwa
964,964001,34,LIM335,Maruleng
965,965001,127,LIM342,Mutale
966,966001,227,LIM343,Thulamela
967,967001,7,LIM341,Musina
968,968001,144,LIM344,Makhado
969,969001,125,LIM351,Blouberg
970,970001,90,LIM352,Aganang
973,973001,35,LIM353,Molemole
974,974001,143,LIM354,Polokwane
976,976001,87,LIM355,Lepele-Nkumpi
977,977001,11,LIM361,Thabazimbi
978,978001,38,LIM362,Lephalale
979,979001,4,LIM364,Mookgopong
980,980001,6,LIM365,Modimolle
981,981001,9,LIM366,Bela-Bela
982,982001,124,LIM367,Mogalakwena
983,983001,63,LIM471,Ephraim Mogale
984,984001,75,LIM472,Elias Motsoaledi
985,985001,168,LIM473,Makhuduthamaga
986,986001,110,LIM474,Fetakgomo
987,987001,162,LIM475,Greater Tubatse
